Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
549, 1513594199,       5630
550, 1513594200,       4345
551, 1513594201,       1674
552, 1513594202,        990
553, 1513594203,        111
554, 1513594204,       1252
555, 1513594205,       2392
556, 1513594206,       3473
557, 1513594207,        126
558, 1513594208,       3119
559, 1513594209,       5206
560, 1513594210,       6452
561, 1513594211,       2474
562, 1513594212,       1473
563, 1513594213,        950
564, 1513594214,       1734
565, 1513594215,       1600
566, 1513594216,       2652
567, 1513594217,        242
568, 1513594218,       2357
569, 1513594219,       3580
570, 1513594220,       4405
571, 1513594221,       4317
572, 1513594222,       2787
573, 1513594223,         82
574, 1513594224,        888
575, 1513594225,       1229
576, 1513594226,       2872
577, 1513594227,        869
578, 1513594228,       3521
579, 1513594229,       6056
580, 1513594230,       5997
581, 1513594231,       3066
582, 1513594232,       2778
583, 1513594233,        173
584, 1513594234,       1449
585, 1513594235,       2095
586, 1513594236,       1311
587, 1513594237,        274
588, 1513594238,        651
589, 1513594239,        901
590, 1513594240,          7
591, 1513594241,       2728
592, 1513594242,          5
593, 1513594243,       5024
594, 1513594244,       4781
595, 1513594245,       3772
596, 1513594246,       3890
597, 1513594247,       1600
598, 1513594248,       3117
599, 1513594249,       1966
600, 1513594250,       1019
601, 1513594251,       1474
602, 1513594252,        442
603, 1513594253,       2784
604, 1513594254,        960
605, 1513594255,       3971
606, 1513594256,       3623
607, 1513594257,       2905
608, 1513594258,       1077
609, 1513594259,        532
610, 1513594260,        629
611, 1513594261,       3001
612, 1513594262,        440
613, 1513594263,       3084
614, 1513594264,       3712
615, 1513594265,       4697
616, 1513594266,       2568
617, 1513594267,       1795
618, 1513594268,        189
619, 1513594269,        807
620, 1513594270,       2116
621, 1513594271,       3931
622, 1513594272,        408
623, 1513594273,       2465
624, 1513594274,       3988
625, 1513594275,       6022
626, 1513594276,       2394
627, 1513594277,       1728
628, 1513594278,         74
629, 1513594279,       1055
630, 1513594280,       2649
631, 1513594281,       3760
632, 1513594282,        166
633, 1513594283,       3509
634, 1513594284,       4821
635, 1513594285,       3887
636, 1513594286,       2364
637, 1513594287,       1711
