Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
461, 1513594112,     251224
462, 1513594113,         35
463, 1513594114,         31
464, 1513594115,         14
465, 1513594116,         12
466, 1513594117,        445
467, 1513594118,       2860
468, 1513594119,         27
469, 1513594120,         12
470, 1513594121,       1983
471, 1513594122,     212664
472, 1513594123,      59888
473, 1513594124,          5
474, 1513594125,         26
475, 1513594126,         14
476, 1513594127,        587
477, 1513594128,        658
478, 1513594129,         53
479, 1513594130,         10
480, 1513594131,       1920
481, 1513594132,     213066
482, 1513594133,      67206
483, 1513594134,         39
484, 1513594135,         27
485, 1513594136,         13
486, 1513594137,        281
487, 1513594138,       2789
488, 1513594139,         51
489, 1513594140,         10
490, 1513594141,     191295
491, 1513594142,      35475
492, 1513594143,      53838
493, 1513594144,         45
494, 1513594145,         18
495, 1513594146,         13
496, 1513594147,        100
497, 1513594148,       3259
498, 1513594149,         10
499, 1513594150,         46
500, 1513594151,       1703
501, 1513594152,     308050
502, 1513594153,          0
503, 1513594154,          8
504, 1513594155,         58
505, 1513594156,         13
506, 1513594157,          5
507, 1513594158,       2921
508, 1513594159,      12913
509, 1513594160,         50
510, 1513594161,       1726
511, 1513594162,     308345
512, 1513594163,          5
513, 1513594164,          4
514, 1513594165,         59
515, 1513594166,         11
516, 1513594167,          4
517, 1513594168,       2422
518, 1513594169,         12
519, 1513594170,         14
520, 1513594171,      16341
521, 1513594172,     239180
522, 1513594173,          4
523, 1513594174,         20
524, 1513594175,         19
525, 1513594176,         49
526, 1513594177,       1086
527, 1513594178,       1155
528, 1513594179,         11
529, 1513594180,         12
530, 1513594181,       2114
531, 1513594182,     236321
532, 1513594183,      34319
533, 1513594184,          1
534, 1513594185,         22
535, 1513594186,         44
536, 1513594187,        576
537, 1513594188,       2263
538, 1513594189,         11
539, 1513594190,      13360
540, 1513594191,       1675
541, 1513594192,     239306
542, 1513594193,          5
543, 1513594194,         15
544, 1513594195,         19
545, 1513594196,         13
546, 1513594197,        994
547, 1513594198,       2706
548, 1513594199,         15
549, 1513594200,      15080
550, 1513594201,       1418
551, 1513594202,     293512
552, 1513594203,          4
553, 1513594204,          4
554, 1513594205,         25
555, 1513594206,         14
556, 1513594207,        224
557, 1513594208,       3106
558, 1513594209,         49
559, 1513594210,         30
560, 1513594211,       1914
561, 1513594212,     293239
562, 1513594213,      31122
563, 1513594214,          4
564, 1513594215,          9
565, 1513594216,         30
566, 1513594217,          2
567, 1513594218,       3760
568, 1513594219,         75
569, 1513594220,         13
570, 1513594221,       5173
571, 1513594222,     271068
572, 1513594223,         35
573, 1513594224,          1
574, 1513594225,          0
575, 1513594226,         23
576, 1513594227,        335
577, 1513594228,       2589
578, 1513594229,         15
579, 1513594230,         14
580, 1513594231,       1984
581, 1513594232,     314518
582, 1513594233,       6807
583, 1513594234,          4
584, 1513594235,         17
585, 1513594236,          7
586, 1513594237,          6
587, 1513594238,      58998
588, 1513594239,     201322
589, 1513594240,          4
590, 1513594241,         15
591, 1513594242,       1272
592, 1513594243,       1654
593, 1513594244,         52
594, 1513594245,          8
595, 1513594246,       1190
596, 1513594247,     282658
597, 1513594248,         28
598, 1513594249,         49
599, 1513594250,          4
600, 1513594251,         47
601, 1513594252,        281
602, 1513594253,      41324
603, 1513594254,      52057
604, 1513594255,         13
605, 1513594256,         10
606, 1513594257,     153931
607, 1513594258,     155108
608, 1513594259,         34
609, 1513594260,         25
610, 1513594261,         17
611, 1513594262,          2
612, 1513594263,       3321
613, 1513594264,         12
614, 1513594265,         50
615, 1513594266,       1153
616, 1513594267,     342494
617, 1513594268,          4
618, 1513594269,          6
619, 1513594270,         59
620, 1513594271,         17
621, 1513594272,          4
622, 1513594273,       3101
623, 1513594274,         39
624, 1513594275,         49
625, 1513594276,       1211
626, 1513594277,     277327
627, 1513594278,      29937
628, 1513594279,         10
629, 1513594280,         56
630, 1513594281,         15
631, 1513594282,          7
632, 1513594283,       1738
633, 1513594284,         16
634, 1513594285,          9
635, 1513594286,       1302
636, 1513594287,     124446
637, 1513594288,     211998
638, 1513594289,          2
639, 1513594290,          2
640, 1513594291,         64
641, 1513594292,          1
642, 1513594293,        931
643, 1513594294,         11
644, 1513594295,      15079
645, 1513594296,        949
646, 1513594297,     130933
647, 1513594298,     215247
648, 1513594299,          5
649, 1513594300,          4
650, 1513594301,         43
651, 1513594302,          4
652, 1513594303,      39543
